name, day, month, year, link
Carmen, 3, 1, 2023, https://www.staatsoper-stuttgart.de/spielplan/ueberblick-23-24/bizet-carmen/
Carmen, 14, 10, 2023, https://www.staatsoper-stuttgart.de/spielplan/ueberblick-23-24/bizet-carmen/
Carmen, 20, 10, 2023, https://www.staatsoper-stuttgart.de/spielplan/ueberblick-23-24/bizet-carmen/
Carmen, 28, 10, 2023, https://www.staatsoper-stuttgart.de/spielplan/ueberblick-23-24/bizet-carmen/
Der Räuber Hotzenplotz, 21, 12, 2023, https://www.staatsoper-stuttgart.de/spielplan/a-z/der-raeuber-hotzenplotz/
Der Räuber Hotzenplotz, 22, 12, 2023, https://www.staatsoper-stuttgart.de/spielplan/a-z/der-raeuber-hotzenplotz/
Der Räuber Hotzenplotz, 29, 12, 2023, https://www.staatsoper-stuttgart.de/spielplan/a-z/der-raeuber-hotzenplotz/
Der Räuber Hotzenplotz, 30, 12, 2023, https://www.staatsoper-stuttgart.de/spielplan/a-z/der-raeuber-hotzenplotz/
Der Räuber Hotzenplotz, 6, 1, 2024, https://www.staatsoper-stuttgart.de/spielplan/a-z/der-raeuber-hotzenplotz/
Der Räuber Hotzenplotz, 21, 1, 2024, https://www.staatsoper-stuttgart.de/spielplan/a-z/der-raeuber-hotzenplotz/
Hänsel und Gretel, 1, 3, 2024, https://www.staatsoper-stuttgart.de/spielplan/ueberblick-23-24/haensel-und-gretel/
Rise or Fall, 10, 4, 2024, https://www.staatsoper-stuttgart.de/spielplan/a-z/rise-or-fall/
Rise or Fall, 13, 4, 2024, https://www.staatsoper-stuttgart.de/spielplan/a-z/rise-or-fall/
Sinfoniekonzert Brahms-Festival Lübeck, 3, 5, 2024, https://www.mh-luebeck.de/veranstaltungen/brahms-festival/sinfoniekonzert/
Sinfoniekonzert Brahms-Festival Lübeck, 4, 5, 2024, https://www.mh-luebeck.de/veranstaltungen/brahms-festival/sinfoniekonzert/
Aufstieg und Fall der Stadt Mahagonny, 11, 5, 2024, https://www.staatsoper-stuttgart.de/spielplan/ueberblick-23-24/aufstieg-und-fall-der-stadt-mahagonny/
Gastspiel in Rottenburg Stuttgarter Kammerorchester, 16, 6, 2024, https://stuttgarter-kammerorchester.com/event-detail/gastspiel-in-rottenburg
Hotel Savoy, 22, 6, 2024, https://www.staatsoper-stuttgart.de/spielplan/ueberblick-23-24/hotel-savoy/
Die Nachtigall (UA) @ Staatstheater Nürnberg, 26, 1, 2025, https://www.staatstheater-nuernberg.de/spielplan-24-25/die-nachtigall/26-01-2025/1000
Die Nachtigall (UA) @ Staatstheater Nürnberg, 4, 2, 2025, https://www.staatstheater-nuernberg.de/spielplan-24-25/die-nachtigall/26-01-2025/1000
